key,name,image_urls,name_zh_tw,name_zh_cn
base,Base Player Aids,https://suisoko.com/Player_Aids/BaseCards300pxiBaseAid0png_combined.webp;https://suisoko.com/Player_Aids/BaseCards300pxiBaseAid1png_combined.webp;https://suisoko.com/Player_Aids/BaseCards300pxiBaseAid2png_combined.webp;https://suisoko.com/Player_Aids/BaseCards300pxiBaseAid3png_combined.webp,幫助卡1-4,帮助卡1-4
je,JE Player Aids,https://suisoko.com/Player_Aids/JECards300pxiJEPlayerAid0png_combined.webp;https://suisoko.com/Player_Aids/JECards300pxiJEPlayerAid1png_combined.webp,JE幫助卡1-2,JE帮助卡1-2
ni,NI Player Aids,https://suisoko.com/Player_Aids/NIPlayerAid0png_combined.webp;https://suisoko.com/Player_Aids/NIPlayerAid1png_combined.webp,NI幫助卡1-2,NI帮助卡1-2
